Nr;date_farm;AMU;age;date_lab;AMP;AZI;AMI;GEN;TGC;TAZ;FOT;COL;NAL;TET;TMP;SMX;CHL;MERO;CIP;multidrug_res;drug_res;multiclass_res;class_res;;;
51;19.04.2023;1;1;27.04.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
52;19.04.2023;1;1;27.04.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
53;20.04.2023;1;0;27.04.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
54;20.04.2023;1;1;27.04.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
55;20.04.2023;1;1;27.04.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
56;20.04.2023;1;1;27.04.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
57;24.04.2023;0;0;04.05.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
58;24.04.2023;0;1;04.05.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
59;24.04.2023;0;1;04.05.2023;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;2;0;2;;;
60;24.04.2023;0;1;04.05.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
61;27.04.2023;1;0;04.05.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
62;27.04.2023;1;1;04.05.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
63;27.04.2023;1;1;04.05.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
64;27.04.2023;1;1;04.05.2023;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;1;;;
65;27.04.2023;1;0;04.05.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
66;27.04.2023;1;1;04.05.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
67;27.04.2023;1;1;04.05.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
68;27.04.2023;1;1;04.05.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
69;15.06.2023;0;0;22.06.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
70;15.06.2023;0;1;22.06.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
71;15.06.2023;0;1;22.06.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
72;15.06.2023;0;1;22.06.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
73;15.06.2023;1;0;22.06.2023;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;1;4;1;4;;;
74;15.06.2023;1;1;22.06.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
75;15.06.2023;1;1;22.06.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
76;15.06.2023;1;1;22.06.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
77;10.07.2023;1;0;15.07.2023;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;
